Time,Session,Location
9:00,"Registration, coffee and poster setup",
9:45,Welcome and opening remarks,
10:00,Keynote I — Danny Reinberg,
11:00,Selected talks — session I,
12:15,Lunch and poster session,
14:00,Selected talks — session II,
16:00,Keynote II — Bing Ren,
17:00,Closing remarks and reception,
